timestep,reward
5,-0.46925
3692,-0.20275
9412,-0.01525
15636,0.125
22381,0.45675
29728,0.70325
37434,0.72775
45117,1.17575
53745,1.422
62887,1.5855
72096,1.702
81694,1.685
91011,2.066
100729,1.9045
110503,2.1485
120357,2.0055
130585,2.13
140843,2.085
150885,2.03925
160930,2.18225
170837,2.02475
180806,2.2015
191041,2.13675
201344,2.098
211318,2.20275
221340,1.91325
231332,2.03525
241258,2.10775
251327,2.2285
261681,2.124
271852,2.201
281803,2.07475
291904,2.3025
302396,2.014
312616,2.1465
322810,2.1915
332927,2.151
343133,2.21775
353392,2.25275
363636,2.18525
373720,2.252
383814,2.2515
393996,2.37875
404208,2.28975
414358,2.14875
424353,2.35775
434656,2.223
444510,2.223
454592,2.253
464678,2.244
